M1_TOA_us, M1_STE     , M1_ZCR, M1_PEAK, M2_TOA_us, M2_STE    , M2_ZCR, M2_PEAK, Lokasi
791560445, 73703.45   , 0.02  , 550    , 791564177, 4240.22   , 0.04  , 143    , Dekat Mic1
792057215, 1005.86    , 0.09  , 77     , 792066705, 1358.1    , 0.07  , 78     , Dekat Mic1
792564504, 748.84     , 0.12  , 60     , 792556759, 4187.27   , 0.0   , 102    , Dekat Mic2
793060868, 842.83     , 0.21  , 89     , 793059995, 3870.41   , 0.0   , 98     , Dekat Mic2
793561285, 1132.16    , 0.06  , 86     , 793562460, 2948.05   , 0.0   , 81     , Dekat Mic1
794065427, 508.56     , 0.23  , 67     , 794067066, 1683.03   , 0.09  , 88     , Dekat Mic1
794557841, 1916.29    , 0.11  , 121    , 794556465, 1945.7    , 0.06  , 87     , Dekat Mic2
795063014, 2022182.88 , 0.0   , 2795   , 795066818, 84218.72  , 0.01  , 527    , Dekat Mic1
795559917, 2659.73    , 0.11  , 126    , 795559654, 3802.43   , 0.0   , 108    , Dekat Mic2
796057936, 7018.18    , 0.04  , 163    , 796059949, 3509.44   , 0.0   , 105    , Dekat Mic1
796564316, 107184096.0, 0.01  , 18926  , 796562775, 2726473.25, 0.01  , 3413   , Dekat Mic2
797058125, 3371.36    , 0.09  , 154    , 797059503, 705.9     , 0.12  , 58     , Dekat Mic1
797562110, 636.43     , 0.15  , 90     , 797562229, 4039.21   , 0.0   , 94     , Dekat Mic1
798059463, 2064.78    , 0.1   , 111    , 798066384, 2086.4    , 0.09  , 100    , Dekat Mic1
798564218, 1868298.5  , 0.01  , 2710   , 798560064, 23484.73  , 0.01  , 342    , Dekat Mic2
799067409, 2002.51    , 0.17  , 118    , 799056705, 465.61    , 0.21  , 59     , Dekat Mic2
799565533, 2212.46    , 0.07  , 105    , 799559276, 3911.23   , 0.0   , 111    , Dekat Mic2
800067901, 555.75     , 0.23  , 73     , 800060681, 2962.74   , 0.0   , 92     , Dekat Mic2
800557642, 48620.21   , 0.02  , 411    , 800560875, 2514.63   , 0.0   , 90     , Dekat Mic1
801061165, 2972.28    , 0.14  , 135    , 801057209, 1063.54   , 0.01  , 70     , Dekat Mic2
801566860, 588.11     , 0.2   , 71     , 801562189, 4527.7    , 0.0   , 98     , Dekat Mic2
802060774, 4416.98    , 0.05  , 131    , 802061927, 3389.19   , 0.0   , 99     , Dekat Mic1
802561241, 3184.46    , 0.09  , 124    , 802561819, 3665.79   , 0.0   , 95     , Dekat Mic1
803065849, 1626.98    , 0.11  , 106    , 803056169, 1144.41   , 0.05  , 71     , Dekat Mic2
803567196, 3497.43    , 0.04  , 141    , 803556477, 1599.88   , 0.04  , 92     , Dekat Mic2
804065071, 4616731.0  , 0.0   , 4381   , 804059333, 51838.96  , 0.01  , 410    , Dekat Mic2
804560075, 2706.32    , 0.1   , 111    , 804559880, 741.37    , 0.0   , 60     , Dekat Mic2
805060324, 10123.08   , 0.06  , 223    , 805061762, 1712.96   , 0.05  , 72     , Dekat Mic1
805557207, 6901059.0  , 0.02  , 5500   , 805564622, 431744.59 , 0.01  , 1512   , Dekat Mic1
806059197, 717.39     , 0.19  , 72     , 806060123, 2524.95   , 0.01  , 80     , Dekat Mic1
806562709, 1097.41    , 0.17  , 87     , 806557340, 3293.94   , 0.0   , 86     , Dekat Mic2
